2021-03-10 16:42:09,078 INFO [root] [base.py (__init__:11)]] - 初始化driver<selenium.webdriver.chrome.webdriver.WebDriver (session="a742d1cd653d545dee7be60d367ab6bf")>
2021-03-10 16:42:09,099 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple1')
2021-03-10 16:42:09,100 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple1')
2021-03-10 16:42:09,247 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-10 16:42:09,247 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-10 16:42:09,338 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:09,339 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:09,479 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-10 16:42:09,479 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-10 16:42:09,632 INFO [root] [base.py (base_get_value:37)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-10 16:42:09,632 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-10 16:42:09,669 INFO [root] [base.py (base_get_value:37)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-10 16:42:09,669 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-10 16:42:09,691 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:09,692 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:09,759 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:09,759 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:09,829 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:09,829 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:09,950 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-10 16:42:09,951 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-10 16:42:10,042 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:10,043 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:10,105 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:10,105 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
2021-03-10 16:42:10,166 INFO [root] [base.py (base_click:31)]] - 正在点击元素('css selector', '#simple2')
2021-03-10 16:42:10,166 INFO [root] [base.py (base_find_element:23)]] - 正在查找元素('css selector', '#simple2')
