2021-03-13 10:21:01,566 INFO [root] [base.py (__init__:14)]] - 初始化driver<selenium.webdriver.chrome.webdriver.WebDriver (session="3f655e2c3e5039ec8f5b8f248bf93546")>
2021-03-13 10:21:01,566 INFO [root] [base.py (__init__:14)]] - 初始化driver<selenium.webdriver.chrome.webdriver.WebDriver (session="3f655e2c3e5039ec8f5b8f248bf93546")>
2021-03-13 10:21:01,574 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 10:21:01,574 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 10:21:01,575 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 10:21:01,575 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 10:21:01,759 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 10:21:01,759 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 10:21:01,760 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 10:21:01,760 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 10:21:01,847 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:01,847 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:01,847 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:01,847 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:01,932 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 10:21:01,932 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 10:21:01,933 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:01,933 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:02,041 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,041 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,042 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,042 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,108 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,108 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,108 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,108 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
