2021-03-13 17:06:15,947 INFO [root] [base.py (__init__:16)]] - 初始化driver<selenium.webdriver.chrome.webdriver.WebDriver (session="eff70093dfede1dcdbce1884908b8a09")>
2021-03-13 17:06:15,952 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 17:06:15,953 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 17:06:16,028 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 17:06:16,029 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 17:06:16,080 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,080 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,128 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 17:06:16,128 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 17:06:16,182 INFO [root] [base.py (base_get_value:42)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 17:06:16,182 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 17:06:16,200 INFO [root] [base.py (base_get_value:42)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 17:06:16,200 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 17:06:16,218 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,218 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,252 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,252 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,315 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,315 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,347 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 17:06:16,348 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simpleAdd')
2021-03-13 17:06:16,387 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,387 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,421 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,422 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,452 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,453 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,484 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 17:06:16,485 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 17:06:16,524 INFO [root] [base.py (base_get_value:42)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 17:06:16,524 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 17:06:16,540 INFO [root] [base.py (base_get_value:42)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 17:06:16,540 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 17:06:16,551 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 17:06:16,552 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 17:06:16,597 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 17:06:16,597 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 17:06:16,637 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple3')
2021-03-13 17:06:16,638 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple3')
2021-03-13 17:06:16,688 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simple4')
2021-03-13 17:06:16,688 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simple4')
2021-03-13 17:06:16,739 INFO [root] [base.py (base_click:36)]] - 正在点击元素('css selector', '#simpleAdd')
2021-03-13 17:06:16,739 INFO [root] [base.py (base_find_element:28)]] - 正在查找元素('css selector', '#simpleAdd')
